,CD14+_Monocytes,CD4_T_cells,FCGR3A+_Monocytes,NK_cells,Dendritic_cells,CD8_T_cells,B_cells_1,B_cells_2
AC087564.1,4.4282136,7.3708963,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPA1P48,175.40846,1106.5651,57.2071,65.006485,89.9471,150.52069,54.614807,11.396792
AC026462.4,20.364464,16.605904,5.219647,0.0,0.0,6.284206,16.716692,0.0
CHD9,3606.4792,2443.6292,661.35913,376.14996,386.40573,694.8364,1148.8712,154.00084
AC007342.4,0.0,19.245161,0.0,0.0,0.0,0.0,0.0,0.0
AC007342.5,0.0,28.12516,0.0,0.0,0.0,0.0,0.0,0.0
RBL2,1502.8877,7291.913,230.43945,447.16278,64.123085,1086.9291,400.5003,46.40722
AC007342.1,32.928288,90.06186,0.0,4.6459255,0.0,27.967424,8.6620655,0.0
AKTIP,110.405754,999.87805,31.27728,87.83263,0.0,117.54871,53.302807,0.0
RPGRIP1L,6.313903,160.39415,4.7813134,0.0,0.0,11.030722,11.236628,2.574561
FTO,2162.411,3806.271,264.53613,162.42284,127.574036,603.03784,662.3388,58.120102
AC007496.2,7.10901,7.905654,4.235006,0.0,0.0,0.0,5.505677,0.0
AC007347.1,24.831497,83.88354,9.675419,0.0,13.831098,0.0,20.262287,7.0014243
CRNDE,18.168373,0.0,4.5426955,0.0,0.0,8.072994,0.0,0.0
MMP2-AS1,40.885925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPCAT2,2557.038,134.20578,513.2739,0.0,113.51029,8.499557,16.17331,5.677492
AC007336.1,221.59785,2.9924502,61.421383,0.0,16.859924,0.0,0.0,0.0
CAPNS2,15.052431,0.0,3.2532492,0.0,0.0,0.0,0.0,0.0
CES1,1018.86774,18.74491,4.358928,17.427084,67.66969,76.09862,17.717703,0.0
AC040168.1,0.0,20.33678,9.999993,21.113934,15.60334,3.685619,7.4382224,0.0
GNAO1,5.544227,139.63168,0.0,9.207006,0.0,108.56766,7.4898996,0.0
AMFR,900.5239,967.9153,144.42337,44.65823,120.329544,158.37679,316.54065,11.814579
AC092140.1,54.75987,84.109795,0.0,8.457222,0.0,0.0,53.27055,0.0
NUDT21,286.74677,765.5365,98.79061,67.93152,76.85906,95.74558,136.68506,10.75173
OGFOD1,183.45349,639.9407,48.34614,27.241001,25.788046,147.76845,106.30049,8.869186
BBS2,192.32933,910.7247,52.3608,55.511337,30.110794,126.00289,137.62007,2.4508476
MT3,9.121467,46.094906,0.0,0.0,0.0,0.0,0.0,0.0
MT2A,1918.1229,3121.6506,799.77783,331.99734,209.31586,1204.2704,151.08018,15.073431
AC026461.3,0.0,27.292236,0.0,0.0,0.0,0.0,0.0,0.0
MT1E,63.324512,126.88299,9.091984,0.0,17.248861,143.3095,0.0,0.0
MT1F,54.49909,465.67657,0.0,60.393402,8.693445,161.86275,31.318577,0.0
MT1G,24.256777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT1X,197.99052,1095.9108,25.1864,17.867971,44.828094,235.92328,17.734512,5.760559
AC106779.1,0.0,17.432177,0.0,0.0,0.0,8.721879,8.149434,0.0
NUP93,1272.384,1102.8715,222.5686,87.54634,104.61527,277.1243,185.2154,22.533503
SLC12A3,0.0,13.136524,0.0,0.0,9.345994,0.0,50.74055,61.49106
HERPUD1,2364.3591,1147.9418,342.82602,156.52069,220.93515,303.2458,605.27924,151.82936
AC012181.1,206.9605,45.512188,0.0,0.0,4.323572,9.645736,0.0,0.0
CETP,69.84681,87.34259,15.348641,0.0,8.282968,0.0,4.010228,6.771217
NLRC5,3716.7917,5625.4346,556.52277,385.9698,190.2831,1132.8121,764.10144,22.759344
AC023825.2,56.406227,79.120834,13.468134,20.978653,0.0,36.967796,13.873795,0.0
CPNE2,273.78857,349.8939,3.2532492,16.51234,17.494326,80.91267,0.0,0.0
FAM192A,1262.6731,1325.1492,208.04213,125.21551,144.26997,162.55139,213.28076,14.8616905
AC009090.6,265.92413,256.80905,37.23173,51.440144,7.8067446,57.18261,62.46743,6.372936
RSPRY1,610.452,1127.3093,109.455826,73.88985,87.97285,143.3667,134.10202,3.2583117
ARL2BP,266.44846,783.4948,109.36381,40.835815,53.265354,237.81879,120.11421,3.0282319
PLLP,26.07003,110.7977,0.0,0.0,0.0,10.430397,24.500895,0.0
CIAPIN1,278.40942,826.50696,90.57527,60.366817,61.855984,178.1919,102.14405,14.978328
COQ9,221.00479,448.60175,85.292915,59.595127,8.1371355,106.32071,86.46022,4.669729
POLR2C,183.93968,1211.6113,86.99763,68.17135,19.406124,147.49597,93.01496,2.3910584
DOK4,0.0,18.863821,0.0,0.0,0.0,0.0,15.884439,0.0
CCDC102A,0.0,149.02798,0.0,125.65219,0.0,128.21928,54.2737,3.496139
ADGRG5,66.520386,78.15148,5.446245,316.71014,52.56243,462.6194,193.25078,55.14666
ADGRG1,8.835128,39.635628,0.0,697.834,0.0,668.5897,9.203582,0.0
ADGRG3,0.0,4.1098347,0.0,6.779807,0.0,32.778397,0.0,0.0
AC018552.2,30.626438,12.595465,5.5438747,0.0,0.0,3.6691253,0.0,0.0
DRC7,11.698883,6.1774073,0.0,0.0,2.496373,0.0,2.496373,0.0
KATNB1,121.178055,242.14737,48.99745,59.706833,39.430927,27.949728,21.560501,5.2001877
KIFC3,21.520355,10.3070345,8.378131,54.03289,0.0,16.951378,0.0,0.0
AC092118.1,13.311919,0.0,0.0,8.708337,0.0,0.0,8.71435,0.0
CNGB1,20.88313,9.483791,0.0,0.0,0.0,0.0,0.0,0.0
TEPP,0.0,79.88409,5.6203012,8.628103,0.0,19.327473,0.0,0.0
ZNF319,90.80422,167.0097,0.0,44.71414,16.449448,51.71858,33.51827,2.7609892
USB1,288.3306,228.66835,82.45908,75.3819,27.907537,144.79118,30.376888,6.508877
MMP15,5.8874764,19.054424,0.0,0.0,0.0,0.0,0.0,0.0
CFAP20,429.28394,799.79724,56.87591,16.529295,65.288506,107.60485,121.22482,15.09356
AC026771.1,7.2610097,10.017941,5.250294,0.0,0.0,0.0,0.0,0.0
